address,brand,capacity,quantity,memo,fee,denomination,weight_class,district,name
"Abedin Bhaban, Ground Floor, Shop#1/1, Sonir Akhra, Kadamtoli, Donia",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Sonir Akhra"
"326 , Habib khan Tower,sontek,Jatra bari",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Sontek , Jatrabari"
"60/1/A, Bramon Chiron, Golapbagh, Dhalpur",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Dholpur,Jatrabari"
"New -50 ,Old - 36/B,Zia Shoroni ,Polashpur ,Sonir Akhra , 60 no. ward ",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Sonir Akhra-2 ,Dhaka"
"Plot : 1362,Word no : 61 Mahmudul Haq khan Plaza ,Rayer Bag Bus stand ",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Rayer Bag Bus stand "
"5/3, Sher-E-Bangla Road, Katasur, Mohammadpur",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, katasur"
"99, Sat Mosque Road, 11/A, Dhanmondi",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Dhanmondi "
"H # 45 ,Dil Mohammad avenue , Uddyan,Mohammadpur",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Dhaka Uddan"
"H#B-50, Zakir Hossain Road, Lalmatia, Mohammadpur",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Lalmatia"
"House No : 360, Elephant Road, New Market",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-New market"
"H#10, Probal Housing, Road#02, Shaker Tek, Adabor, Mohammadpur",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Adabor"
"H # 11/09, Tazmohol Raod ,Mohammadpur",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,Beyond Bytes Mohammodpur 
"37, Shyamoli Cinema Hall Building, Shyamoli",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Shyamoli"
"12/A, Riaz Uddin Market, Washpur, Bosila, Mohammadpur",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Bosila "
"101, Sukrabad",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Sukrabad "
"House#118(New), Road#9/A(New), Dhanmondi",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Shankor"
"Y,14/C, Rajia Sultana Road , Mohammadpur",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Mohammadpur"
"25/5, Domino Melodia, Jhigatola",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,Tasty Treat Zigatola 02 
"Hauli, Zinzira, Keranigong, (Opposite to press club)",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-ZINZIRA KERANIGONJ"
"BT Tower, Kodomtoli Chowrasta, Keranigonj.",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-KADOMTOLI CHOWRASTA"
"869,Jahangir Mention,Bagmara Bazar,Nababganj",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-BAGMARA BAZAR, NABABGONJ"
"409,Dewan Tower,Joypara bazar,Dohar",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-JOYPARA BAZAR,DOHAR"
"605,Hospital sodor road,R.K Tower",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Munshiganj,"Tasty Treat,-HOSPITAL SODOR ROAD , MUNSHIGANJ"
"493 , East Jurain ,Hazi K Ali road",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,- JURAIN"
"H # 44 ,Ati Bazar ,Keraniganj ",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-ATI BAZAR KERANIGANJ"
"Sreenagor ,Munshiganj",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Munshiganj,"Tasty Treat,-SREENAGOR-MUNSHIGANJ"
"House # 26 ,Road# 03 , Rohitpur ,keraniganj",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Rohitpur "
"540,Riaz mention ,Singair Bus Stand",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Manikganj,"Tasty Treat,-SINGAIR BUS STAND ,MANIKGANJ"
"1/3, Shahid Rafiq Sarak, Manikgonj Sadar",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Manikganj,"Tasty Treat,-MANIKGONJ"
"Kalampur bazar, dhamrai",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-KALAMPUR BUS STAND-DHAMRAI"
"52/A,Dhamrai Bazar ,Dhamrai",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-DHAMRAI BAZAR"
"Abdul Barek Mondal Market, Palli Biddut, Savar",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-SAVAR PALLI BIDDUT"
"Industrial Trade Centre,EPZ , Savar",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-SAVAR EPZ"
"RMST Tower, Bypile, Ashulia, Savar",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-BYPILE SAVAR"
"Monsur Tower ,Jamgora chowrasta, Ashulia,Savar",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-JAMGORA ASHULIA"
"Ashulia bus stand, Ashulia, savar",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-ASHULIA BUS STAND-SAVAR"
43 no. Nayapalton,RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Nayapalton"
27 NO KARAIL,RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-KAKRAIL"
70/71 Moghbazar,RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Moghbazar "
Maruf Market Mowchak Mor,RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Mowchak"
143/2 New Baily Road,RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-BailyRoad"
84 Eskaton road,RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Eskaton road"
Tikatuli Jame Mosque ,RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Tikatuli"
"shop-11, 53/1Neer chayabithi( Rk Mission road)",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Gopibagh"
11/Purana paltan,RFL Weight Scale,0 to 30kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Purana Paltan-2"
"nilu square,dhanmondi plot#1,3,5, house#75 ,road 5/a satmasjid road ,dhanmondi",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,Fry Bucket Dhanmondi
"44/9 west panthapath, 12",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Panthapath"
Nearest Shahinbag Water Pump,RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Shahinbag"
Farmgate,RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Farmgate-1"
79 green road ,RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Farmgate-2"
"Tasty treat , scince college  ,Tejkunipara,Framgate,Tejgoan",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Tejturi bazar"
"Airport Road Super Market, 145 old, Bijoy sarani",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,- Bijoy sarani"
"Bepza Complex,Green Road",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Bepza"
Hazi amjad hossain super market,RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Gazipur,"Tasty Treat,-Sofipur Gazipur"
kaliyakoir Bypass,RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Gazipur,"Tasty Treat,-Shibtoli Kaliyakoir"
Salim Complex,RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Gazipur,"Tasty Treat,-Joydevpur Gazipur"
"Ahsaniya Super Market, vogra bypass",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Gazipur,"Tasty Treat,-Gazipur Bypass"
Holding No.805 Auchpar,RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Gazipur,"Tasty Treat,-Gazipur Chowrasta"
"Mosarof Tower,Rajbari Road",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Gazipur,"Tasty Treat,-Joydevpur 2"
South Shalna Bazar,RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Gazipur,"Tasty Treat,-Shalna Gazipur"
"4/1/2 Azimpur Road, Lalbagh",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Lalbug"
"44/A/1/2, Shapra Mosque, Azimpur Road",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Azimpur"
"87, Razani Ghandha House, Nazim Uddin Road",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Nazimuddin Road"
"21, Abul Hasnat Road, Satrawja",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Satrouza"
"19, Bakshi Bazar",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Bakshi Bazar"
"75 , Nilambor saha road ,Nababganj, Hazaribagh",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Hazaribagh-2"
"20/21,Subash Ghosh avenue ,Laxmi Bazar,Sutrapur",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Laxmi Bazar,Puran Dhaka"
"H #12,Ashrafabad main road,ismail mention,kamrangirch",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Kamrangir Chor ,Dhaka"
"Nearby  bank, Maona chowrasta",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Gazipur,"Tasty Treat,-Maona chowrasta"
"Bormi road, Sreepur",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Gazipur,"Tasty Treat,-Sreepur gazipur"
Sonargon,Xpart,mix. 30kg,1,..605.31.003.21,200,none,none,Narayanganj,"Tasty Treat,-Sonargon"
Demra staff quarter,XPART,40g-30kg,1,..605.31.003.21,200,none,none,Narayanganj,"Tasty Treat, Staff quarter"
Al-joynal trade center chasara,RFL,30 kg,1,..605.31.003.21,200,none,none,Narayanganj,"Tasty Treat,-Chasara"
STAFF QUARTER BUS STAND,RFL,30KG,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, STAFF Q BUS STAND"
"al amin road,konapara,demra",RFL,30kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Konapara"
"HIRAJHEEL, siddhirganj",RFL,30KG,1,..605.31.003.21,200,none,none,Narayanganj,"Tasty Treat, HIRAJHEEL CTG ROAD"
Siddhirganj,RFL,20-30,1,..605.31.003.21,200,none,none,Narayanganj,"Tasty Treat, NAYA HATI"
"Foridpur Jhiltuli ,Mohila college road",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Faridpur,"Tasty Treat, Foridpur Jhiltuli"
"1033,Singair road,Hemayetpur,Savar",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Hemayetpur"
"D-119/3 Talbag,Savar",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Talbag Savar"
"C/93,Savar Bus Stand",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Savar bus stand"
"B/2/13,Molla Super Market,Shimultola,Savar,-13",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Savar Shimultola"
"C/93, Saver Bus Stand, Savar",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Saver bus stand 2"
"7, Mobarak complex , Old bus stand",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Tangail,"Tasty Treat, Old Bus stand , Tangail"
"1403, Elenga Bus Stand, kalihati",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Tangail,"Tasty Treat, Alenga , Tangail"
Ghatail Main Road,RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Tangail,"Tasty Treat, Ghatail ,Tangail"
"House-18,Road- Kalihati main road",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Tangail,"Tasty Treat, Kalihati, Tangail"
"Rasel khan tower,Road- Modhupur bus stand",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Tangail,"Tasty Treat, Modhupur, Tangail"
Araihazar collage road,RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Araihazar"
PRAN RFL School Beside Ghorashal highway,RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Narsingdi,"Tasty Treat,-Ghorashal highwaye"
"Vulta,Gausi",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Narayanganj,"Tasty Treat,-Vulta"
"Khalpar,college Gate Road",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Narsingdi,"Tasty Treat,_Narsingdi CollegeGate "
DC-road  sadar,RFL Weight Scale,0 to 5 Kg,1,..605.31.003.21,200,none,none,Narsingdi,"Tasty Treat,-Narsingdi Sadar"
TT RIP Canteen-3No.Gate-Mulgaon/Kaligonj,RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Narayanganj,"Tasty Treat,-RIP Canteen"
"Dhakin kandapara ,sadar road",RFL Weight Scale,1 to 30 Kg,2,..605.31.003.21,400,none,none,Narsingdi,"Tasty Treat,-Kandhapara Narsingdi"
"Ghorashal bazar,bank pa",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Narsingdi,"Tasty Treat, Ghorashal bazar"
"Wapada Gate, polash",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Narsingdi,Tasty treat polash bazer
